# Version 1.00,,,,,,,,,,
#,,,,,,,,,,
# Ref Impedances: Z01: 50, Z02: 50,,,,,,,,,
# ,,,,,,,,,,
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc3_S21,im:Trc3_S21,re:Trc4_S22,im:Trc4_S22,,mag:Trc1_S11
5.00E+03,1.01E-03,-4.09E-04,1.00E+00,-9.12E-04,9.99E-01,-9.78E-04,7.78E-04,6.95E-05,,0.001087959
1.50E+07,4.20E-02,1.57E-01,9.57E-01,-1.67E-01,9.51E-01,-2.03E-01,-1.09E-01,1.36E-01,,0.162421373
3.00E+07,-2.63E-02,-8.15E-02,9.44E-01,-2.96E-01,9.48E-01,-2.88E-01,-2.58E-02,-8.28E-02,,0.085604267
4.50E+07,-5.89E-02,-1.09E-01,8.89E-01,-4.24E-01,8.87E-01,-4.26E-01,-5.54E-02,-1.15E-01,,0.123796687
6.00E+07,-9.34E-02,-1.34E-01,8.10E-01,-5.46E-01,8.13E-01,-5.41E-01,-9.25E-02,-1.33E-01,,0.162927144
7.50E+07,-1.33E-01,-1.40E-01,7.17E-01,-6.49E-01,7.22E-01,-6.48E-01,-1.33E-01,-1.41E-01,,0.193136529
9.00E+07,-1.77E-01,-1.39E-01,6.13E-01,-7.39E-01,6.19E-01,-7.36E-01,-1.78E-01,-1.37E-01,,0.224720979
1.05E+08,-2.19E-01,-1.36E-01,5.00E-01,-8.10E-01,5.05E-01,-8.07E-01,-2.18E-01,-1.22E-01,,0.257410457
1.20E+08,-2.48E-01,-1.01E-01,3.82E-01,-8.65E-01,3.89E-01,-8.64E-01,-2.53E-01,-1.00E-01,,0.26805712
1.35E+08,-2.75E-01,-6.03E-02,2.60E-01,-9.03E-01,2.59E-01,-9.12E-01,-2.81E-01,-6.75E-02,,0.281976428
1.50E+08,-2.89E-01,-3.61E-02,1.31E-01,-9.25E-01,1.43E-01,-9.25E-01,-2.96E-01,-3.48E-02,,0.291300618
1.65E+08,-2.82E-01,-2.94E-03,-9.60E-03,-9.35E-01,2.17E-02,-9.16E-01,-3.06E-01,3.41E-03,,0.281730782
1.80E+08,-2.97E-01,4.13E-02,-1.18E-01,-9.24E-01,-1.11E-01,-9.27E-01,-2.94E-01,4.56E-02,,0.300224734
1.95E+08,-2.79E-01,9.30E-02,-2.43E-01,-9.02E-01,-2.31E-01,-9.08E-01,-2.76E-01,8.34E-02,,0.294078774
2.10E+08,-2.54E-01,1.15E-01,-3.68E-01,-8.60E-01,-3.57E-01,-8.67E-01,-2.51E-01,1.15E-01,,0.278794473
2.25E+08,-2.17E-01,1.35E-01,-4.88E-01,-8.04E-01,-4.80E-01,-8.12E-01,-2.15E-01,1.40E-01,,0.255857375
2.40E+08,-1.77E-01,1.50E-01,-5.99E-01,-7.30E-01,-5.90E-01,-7.41E-01,-1.77E-01,1.50E-01,,0.231821056
2.55E+08,-1.35E-01,1.45E-01,-7.04E-01,-6.38E-01,-6.97E-01,-6.51E-01,-1.30E-01,1.48E-01,,0.198113878
2.70E+08,-8.89E-02,1.30E-01,-7.95E-01,-5.29E-01,-7.88E-01,-5.43E-01,-8.91E-02,1.29E-01,,0.157807621
2.85E+08,-5.76E-02,9.57E-02,-8.70E-01,-4.05E-01,-8.66E-01,-4.17E-01,-4.25E-02,9.75E-02,,0.111729991
3.00E+08,-2.41E-02,5.28E-02,-9.25E-01,-2.63E-01,-9.21E-01,-2.82E-01,-2.42E-02,5.14E-02,,0.058086851
3.15E+08,-1.75E-02,-2.57E-03,-9.55E-01,-1.13E-01,-9.53E-01,-1.33E-01,-1.08E-02,-4.48E-03,,0.017735649
3.30E+08,-2.26E-02,-6.25E-02,-9.56E-01,4.42E-02,-9.57E-01,1.88E-02,-2.02E-02,-6.30E-02,,0.066473608
3.45E+08,-5.16E-02,-1.16E-01,-9.28E-01,1.94E-01,-9.33E-01,1.71E-01,-4.69E-02,-1.20E-01,,0.126544183
3.60E+08,-9.82E-02,-1.69E-01,-8.73E-01,3.33E-01,-8.82E-01,3.11E-01,-9.73E-02,-1.69E-01,,0.19526475
3.75E+08,-1.60E-01,-2.05E-01,-7.95E-01,4.57E-01,-8.06E-01,4.41E-01,-1.59E-01,-2.05E-01,,0.259698577
3.90E+08,-2.37E-01,-2.20E-01,-6.99E-01,5.57E-01,-7.03E-01,5.55E-01,-2.33E-01,-2.27E-01,,0.322952999
4.05E+08,-3.25E-01,-2.16E-01,-5.91E-01,6.38E-01,-5.82E-01,6.42E-01,-3.07E-01,-2.24E-01,,0.390088583
4.20E+08,-3.96E-01,-1.84E-01,-4.77E-01,6.95E-01,-4.51E-01,7.10E-01,-3.87E-01,-2.09E-01,,0.436770198
4.35E+08,-4.66E-01,-1.37E-01,-3.63E-01,7.39E-01,-3.24E-01,7.46E-01,-4.58E-01,-1.67E-01,,0.485594989
4.50E+08,-5.24E-01,-7.30E-02,-2.48E-01,7.49E-01,-2.04E-01,7.60E-01,-5.18E-01,-1.15E-01,,0.528896517
4.65E+08,-5.67E-01,3.29E-04,-1.37E-01,7.55E-01,-1.01E-01,7.56E-01,-5.68E-01,-4.38E-02,,0.567043475
4.80E+08,-5.94E-01,7.48E-02,-3.93E-02,7.43E-01,6.06E-03,7.40E-01,-6.05E-01,3.43E-02,,0.598723419
4.95E+08,-6.05E-01,1.52E-01,5.49E-02,7.24E-01,1.01E-01,7.15E-01,-6.23E-01,1.21E-01,,0.62422708
5.10E+08,-6.06E-01,2.33E-01,1.41E-01,6.90E-01,1.85E-01,6.78E-01,-6.25E-01,2.01E-01,,0.649372586
5.25E+08,-5.90E-01,3.11E-01,2.19E-01,6.53E-01,2.66E-01,6.32E-01,-6.06E-01,2.84E-01,,0.666884057
5.40E+08,-5.58E-01,3.91E-01,2.88E-01,6.09E-01,3.29E-01,5.85E-01,-5.84E-01,3.51E-01,,0.681569368
5.55E+08,-5.19E-01,4.52E-01,3.51E-01,5.69E-01,3.94E-01,5.34E-01,-5.38E-01,4.29E-01,,0.688360316
5.70E+08,-4.64E-01,5.16E-01,4.10E-01,5.15E-01,4.46E-01,4.88E-01,-4.85E-01,4.89E-01,,0.693710253
5.85E+08,-3.95E-01,5.69E-01,4.59E-01,4.71E-01,5.16E-01,4.12E-01,-4.40E-01,5.34E-01,,0.692586062
6.00E+08,-3.13E-01,6.13E-01,5.21E-01,4.04E-01,5.67E-01,3.42E-01,-3.85E-01,5.76E-01,,0.688481215
6.15E+08,-2.53E-01,6.34E-01,5.80E-01,3.20E-01,5.90E-01,3.21E-01,-2.90E-01,6.16E-01,,0.682821801
6.30E+08,-1.83E-01,6.41E-01,6.34E-01,2.50E-01,6.33E-01,2.54E-01,-1.63E-01,6.47E-01,,0.666465157
6.45E+08,-1.01E-01,6.39E-01,6.76E-01,1.70E-01,6.76E-01,1.59E-01,-7.50E-02,6.39E-01,,0.647466351
6.60E+08,-1.69E-02,6.14E-01,7.18E-01,7.26E-02,7.20E-01,7.27E-02,-3.79E-03,6.13E-01,,0.61423372
6.75E+08,5.60E-02,5.71E-01,7.47E-01,-4.07E-02,7.47E-01,-4.34E-02,8.14E-02,5.66E-01,,0.573823183
6.90E+08,1.21E-01,5.00E-01,7.63E-01,-1.66E-01,7.59E-01,-1.74E-01,1.41E-01,4.97E-01,,0.51477676
7.05E+08,1.62E-01,4.23E-01,7.53E-01,-3.04E-01,7.52E-01,-3.15E-01,1.86E-01,4.07E-01,,0.452992815
7.20E+08,1.73E-01,3.19E-01,7.10E-01,-4.57E-01,7.06E-01,-4.83E-01,1.92E-01,3.01E-01,,0.363061814
7.35E+08,1.45E-01,2.00E-01,6.19E-01,-6.07E-01,5.89E-01,-6.52E-01,1.51E-01,1.97E-01,,0.246740485
7.50E+08,6.71E-02,1.16E-01,4.81E-01,-7.38E-01,4.21E-01,-7.83E-01,5.95E-02,1.10E-01,,0.134142106
7.65E+08,-5.24E-02,8.39E-02,2.80E-01,-8.33E-01,2.37E-01,-8.52E-01,-5.98E-02,7.31E-02,,0.098904472
7.80E+08,-1.88E-01,1.11E-01,6.29E-02,-8.54E-01,2.67E-02,-8.59E-01,-1.95E-01,9.59E-02,,0.218824979
7.95E+08,-2.91E-01,1.93E-01,-1.37E-01,-8.02E-01,-1.70E-01,-7.97E-01,-2.94E-01,1.89E-01,,0.349266258
8.10E+08,-3.50E-01,3.20E-01,-2.95E-01,-6.98E-01,-3.12E-01,-6.88E-01,-3.53E-01,3.13E-01,,0.474175274
8.25E+08,-3.56E-01,4.46E-01,-4.02E-01,-5.69E-01,-4.11E-01,-5.62E-01,-3.46E-01,4.52E-01,,0.570350593
8.40E+08,-3.15E-01,5.70E-01,-4.60E-01,-4.39E-01,-4.67E-01,-4.42E-01,-3.04E-01,5.74E-01,,0.650803299
8.55E+08,-2.45E-01,6.66E-01,-4.84E-01,-3.18E-01,-5.01E-01,-3.18E-01,-2.22E-01,6.73E-01,,0.709932064
8.70E+08,-1.51E-01,7.42E-01,-4.82E-01,-2.16E-01,-5.01E-01,-2.09E-01,-1.33E-01,7.43E-01,,0.756871531
8.85E+08,-4.43E-02,7.93E-01,-4.67E-01,-1.30E-01,-4.80E-01,-1.14E-01,-2.57E-02,7.87E-01,,0.794498818
9.00E+08,7.41E-02,8.19E-01,-4.46E-01,-6.16E-02,-4.55E-01,-4.66E-02,7.22E-02,8.08E-01,,0.822658161
9.15E+08,1.87E-01,8.23E-01,-4.20E-01,4.48E-03,-4.27E-01,1.31E-02,2.01E-01,8.02E-01,,0.843988261
9.30E+08,3.00E-01,8.03E-01,-3.98E-01,5.16E-02,-4.12E-01,6.74E-02,2.91E-01,7.89E-01,,0.857210026
9.45E+08,4.11E-01,7.65E-01,-3.70E-01,1.01E-01,-3.78E-01,1.29E-01,3.98E-01,7.52E-01,,0.868493577
9.60E+08,5.16E-01,7.04E-01,-3.42E-01,1.43E-01,-3.38E-01,1.78E-01,4.82E-01,7.00E-01,,0.873353084
9.75E+08,6.07E-01,6.31E-01,-3.11E-01,1.87E-01,-2.93E-01,2.09E-01,5.71E-01,6.40E-01,,0.875138706
9.90E+08,6.84E-01,5.40E-01,-2.76E-01,2.31E-01,-2.56E-01,2.40E-01,6.53E-01,5.57E-01,,0.87134476
1.01E+09,7.48E-01,4.40E-01,-2.35E-01,2.69E-01,-2.20E-01,2.64E-01,7.27E-01,4.59E-01,,0.868031565
1.02E+09,7.97E-01,3.22E-01,-1.85E-01,3.07E-01,-1.80E-01,2.99E-01,7.91E-01,3.30E-01,,0.859649002
1.04E+09,8.32E-01,1.86E-01,-1.28E-01,3.29E-01,-1.30E-01,3.23E-01,8.21E-01,2.07E-01,,0.852745396
1.05E+09,8.36E-01,3.97E-02,-6.25E-02,3.52E-01,-6.08E-02,3.49E-01,8.34E-01,4.76E-02,,0.837116707
1.07E+09,8.12E-01,-1.22E-01,4.88E-03,3.56E-01,5.43E-03,3.55E-01,8.13E-01,-8.73E-02,,0.821076098
1.08E+09,7.47E-01,-2.85E-01,8.59E-02,3.52E-01,8.44E-02,3.52E-01,7.51E-01,-2.62E-01,,0.799765234
1.10E+09,6.37E-01,-4.39E-01,1.66E-01,3.26E-01,1.75E-01,3.29E-01,6.53E-01,-4.11E-01,,0.773204753
1.11E+09,4.75E-01,-5.78E-01,2.46E-01,2.74E-01,2.54E-01,2.72E-01,5.00E-01,-5.52E-01,,0.748244151
1.13E+09,2.68E-01,-6.69E-01,3.13E-01,1.93E-01,3.14E-01,1.87E-01,3.03E-01,-6.54E-01,,0.720964033
1.14E+09,2.45E-02,-6.97E-01,3.49E-01,8.27E-02,3.50E-01,8.14E-02,5.49E-02,-7.00E-01,,0.697151101
1.16E+09,-2.32E-01,-6.43E-01,3.38E-01,-3.54E-02,3.46E-01,-3.84E-02,-2.04E-01,-6.58E-01,,0.683767343
1.17E+09,-4.68E-01,-5.04E-01,2.76E-01,-1.39E-01,2.79E-01,-1.47E-01,-4.48E-01,-5.28E-01,,0.688178117
1.19E+09,-6.44E-01,-2.87E-01,1.81E-01,-1.99E-01,1.77E-01,-2.05E-01,-6.40E-01,-3.03E-01,,0.704990473
1.20E+09,-7.35E-01,-2.62E-02,8.55E-02,-2.04E-01,8.37E-02,-2.03E-01,-7.31E-01,-4.86E-02,,0.735160527
1.22E+09,-7.31E-01,2.34E-01,1.28E-02,-1.76E-01,1.52E-02,-1.79E-01,-7.29E-01,2.34E-01,,0.767857115
1.23E+09,-6.53E-01,4.63E-01,-2.82E-02,-1.33E-01,-3.03E-02,-1.42E-01,-6.50E-01,4.63E-01,,0.800095223
1.25E+09,-5.26E-01,6.39E-01,-4.62E-02,-9.32E-02,-5.48E-02,-9.69E-02,-5.14E-01,6.50E-01,,0.827168089
1.26E+09,-3.74E-01,7.65E-01,-4.94E-02,-6.21E-02,-5.72E-02,-6.02E-02,-3.65E-01,7.71E-01,,0.851178805
1.28E+09,-2.11E-01,8.47E-01,-4.64E-02,-3.94E-02,-4.95E-02,-3.55E-02,-2.09E-01,8.48E-01,,0.873259749
1.29E+09,-4.66E-02,8.94E-01,-4.07E-02,-2.39E-02,-4.15E-02,-2.14E-02,-5.71E-02,8.85E-01,,0.895095291
1.31E+09,9.78E-02,9.02E-01,-3.41E-02,-1.28E-02,-3.45E-02,-1.19E-02,1.02E-01,8.91E-01,,0.907666633
1.32E+09,2.31E-01,8.88E-01,-2.85E-02,-5.87E-03,-2.90E-02,-4.59E-03,2.43E-01,8.82E-01,,0.917758318
1.34E+09,3.49E-01,8.58E-01,-2.26E-02,-1.16E-03,-2.23E-02,2.48E-04,3.67E-01,8.51E-01,,0.926052863
1.35E+09,4.53E-01,8.15E-01,-1.77E-02,1.58E-03,-1.69E-02,2.55E-03,4.76E-01,8.03E-01,,0.932756082
1.37E+09,5.47E-01,7.63E-01,-1.36E-02,2.99E-03,-1.26E-02,3.18E-03,5.66E-01,7.51E-01,,0.938950692
1.38E+09,6.29E-01,7.04E-01,-1.03E-02,3.57E-03,-9.56E-03,3.34E-03,6.49E-01,6.88E-01,,0.944180703
1.40E+09,7.00E-01,6.40E-01,-7.71E-03,3.62E-03,-7.48E-03,3.47E-03,7.12E-01,6.25E-01,,0.948812547
1.41E+09,7.62E-01,5.72E-01,-5.75E-03,3.53E-03,-5.63E-03,3.26E-03,7.79E-01,5.49E-01,,0.952689547
1.43E+09,8.13E-01,5.02E-01,-4.25E-03,3.09E-03,-4.19E-03,2.94E-03,8.17E-01,4.84E-01,,0.955705984
1.44E+09,8.57E-01,4.29E-01,-3.25E-03,2.76E-03,-3.19E-03,2.66E-03,8.74E-01,3.94E-01,,0.958345038
1.46E+09,8.92E-01,3.56E-01,-2.33E-03,2.39E-03,-2.35E-03,2.35E-03,8.94E-01,3.37E-01,,0.960319549
1.47E+09,9.20E-01,2.81E-01,-1.73E-03,2.08E-03,-1.75E-03,2.00E-03,9.31E-01,2.44E-01,,0.961670332
